3,"135790246812345,2016-07-19 00:00:26"
6,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
8,"[LBS MOVE] A+A: ci=40969, lac=28718"
31,"135790246812345,2016-07-19 00:02:26"
34,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
36,"[LBS MOVE] A+A: ci=40969, lac=28718"
59,"135790246812345,2016-07-19 00:04:26"
62,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
64,"[LBS MOVE] A+A: ci=40969, lac=28718"
80,"135790246812345,2016-07-19 00:06:26"
83,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
85,"[LBS MOVE] A+A: ci=40969, lac=28718"
108,"135790246812345,2016-07-19 00:08:26"
111,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
113,"[LBS MOVE] A+A: ci=40969, lac=28718"
135,"135790246812345,2016-07-19 00:10:03"
138,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
140,"[LBS MOVE] A+A: ci=40969, lac=28718"
152,"135790246812345,2016-07-19 00:10:38"
155,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
157,"[LBS MOVE] A+A: ci=40969, lac=28718"
173,"135790246812345,2016-07-19 00:12:26"
176,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
178,"[LBS MOVE] A+A: ci=40969, lac=28718"
201,"135790246812345,2016-07-19 00:14:26"
204,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
206,"[LBS MOVE] A+A: ci=40969, lac=28718"
229,"135790246812345,2016-07-19 00:16:25"
232,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
234,"[LBS MOVE] A+A: ci=40969, lac=28718"
250,"135790246812345,2016-07-19 00:18:26"
253,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
255,"[LBS MOVE] A+A: ci=40969, lac=28718"
278,"135790246812345,2016-07-19 00:20:26"
281,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
283,"[LBS MOVE] A+A: ci=40969, lac=28718"
306,"135790246812345,2016-07-19 00:22:26"
309,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
311,"[LBS MOVE] A+A: ci=40969, lac=28718"
327,"135790246812345,2016-07-19 00:24:26"
330,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
332,"[LBS MOVE] A+A: ci=40969, lac=28718"
355,"135790246812345,2016-07-19 00:26:26"
358,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
360,"[LBS MOVE] A+A: ci=40969, lac=28718"
379,"135790246812345,2016-07-19 00:28:12"
382,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
384,"[LBS MOVE] A+A: ci=40969, lac=28718"
396,"135790246812345,2016-07-19 00:28:47"
399,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
401,"[LBS MOVE] A+A: ci=40969, lac=28718"
417,"135790246812345,2016-07-19 00:30:26"
420,"[LBS MOVE] rest dur(0,0) cur(40969,28718) [0](40969,28718) [1](20241,28718)"
422,"[LBS MOVE] A+A: ci=40969, lac=28718"
