文件名,版本号（最后一条版本号记录）,IMEI,开始时间,结束时间,start个数,drv_start个数,period个数,stop个数,stop_1个数,stop_all个数,stop_hold个数,stop_2个数,stop_pos个数,stop_ack个数,time_finish个数,AGPS开始个数,AGPS成功个数,AGPS失败个数
D:\log\srv_logs\xsk0716.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-16 18:48:01,2016-07-17 10:28:45,524,58,466,25,22,0,0,3,0,0,54,3,2,0
D:\log\srv_logs\xsk0715.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-15 10:41:56,2016-07-16 18:47:43,1059,231,828,66,51,2,0,3,10,0,236,5,12,4
D:\log\srv_logs\绿0712.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[],8.67E+14,2016-07-12 08:53:17,2016-07-13 03:01:23,409,55,354,21,15,0,2,0,4,0,60,2,6,3
D:\log\srv_logs\xsk0712.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-12 10:20:28,2016-07-13 12:26:17,834,84,750,58,48,0,0,0,10,0,91,2,11,2
D:\log\srv_logs\xsk0713.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-13 16:23:40,2016-07-14 08:55:38,543,61,482,32,28,0,0,0,4,0,62,1,5,0
C:\Users\chuan.wang\Desktop\xsk0719.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-18 23:59:55,2016-07-19 12:21:07,462,90,372,13,10,1,0,0,2,0,88,3,3,0
D:\log\srv_logs\xsk0713-part.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-13 20:06:21,2016-07-13 21:18:19,64,32,32,10,10,0,0,0,0,0,32,0,1,0
C:\Users\chuan.wang\Desktop\学生卡坐地铁路测有一段无轨迹.log,bb[MXT1501S-V100C001B001E001] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],8.67E+14,2016-07-19 14:41:12,2016-07-20 09:33:45,639,85,554,45,39,0,0,3,1,2,83,4,6,1
C:\Users\chuan.wang\Desktop\xsk0720.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-20 19:22:30,2016-07-21 08:25:30,454,63,391,13,12,0,0,0,1,0,58,1,2,0
D:\log\srv_logs\红0713.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5316] bt[],8.67E+14,2016-07-13 09:45:13,2016-07-14 07:26:02,540,43,497,15,10,0,0,0,5,0,49,0,6,1
D:\log\srv_logs\绿0713.log,bb[MXT535-BD-V100C001B006T002] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[],8.67E+14,2016-07-13 09:00:07,2016-07-14 00:17:35,410,53,357,38,28,0,0,5,5,0,61,1,10,0
D:\log\srv_logs\红0712.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5316] bt[],8.67E+14,2016-07-12 14:06:17,2016-07-13 04:13:14,530,57,473,21,16,0,1,0,4,0,62,1,5,0
D:\log\srv_logs\xsk0720.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-20 19:22:30,2016-07-21 08:25:30,454,63,391,13,12,0,0,0,1,0,58,1,2,0
D:\log\srv_logs\xsk0719.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-18 23:59:55,2016-07-19 12:21:07,462,90,372,13,10,1,0,0,2,0,88,3,3,0
C:\Users\chuan.wang\Desktop\xsk0721_all.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-21 14:28:23,2016-07-22 00:10:05,186,68,118,42,10,0,2,1,12,17,67,30,33,0
C:\Users\chuan.wang\Desktop\xsk0722_1.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-22 00:10:29,2016-07-22 09:40:00,309,31,278,23,22,0,0,1,0,0,30,1,1,0
C:\Users\chuan.wang\Desktop\xsk6847_0721E.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],8.67E+14,2016-07-21 00:59:20,2016-07-22 00:10:19,640,91,549,15,14,0,0,0,0,1,92,2,3,0
C:\Users\chuan.wang\Desktop\xsk6847_0722M.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],8.67E+14,2016-07-22 00:10:43,2016-07-22 09:41:33,308,29,279,20,19,0,0,0,1,0,29,1,1,0
C:\Users\chuan.wang\Desktop\xsk0722.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-22 00:10:29,2016-07-22 23:59:15,765,82,683,51,50,0,0,1,0,0,78,3,4,0
C:\Users\chuan.wang\Desktop\绿0722.log,bb[MXT535-BD-V100C001B006T002] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[],8.67E+14,2016-07-22 18:11:24,2016-07-23 00:23:32,263,49,214,38,38,0,0,0,0,0,50,2,3,1
C:\Users\chuan.wang\Desktop\红0722.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[],8.67E+14,2016-07-22 18:11:22,2016-07-22 20:25:07,130,60,70,33,33,0,0,0,0,0,57,1,2,1
C:\Users\chuan.wang\Desktop\xsk0725.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-25 18:27:00,2016-07-26 00:14:49,212,41,171,12,12,0,0,0,0,0,39,1,2,0
C:\Users\chuan.wang\Desktop\xsk0726.log,bb[MXT1501S-V100C001B001s] gnss[FW Ver:MXT535S-V300C001B002E5052] bt[none],1.36E+14,2016-07-26 00:15:19,2016-07-26 08:57:26,278,25,253,19,17,0,0,2,0,0,23,1,1,0
C:\Users\chuan.wang\Desktop\device0726-56-EVT1.log,bb[MXT1501S-V100C001B001E002] gnss[FW Ver:MXT535S-V300C001B002E5278] bt[none],2.02E+14,2016-07-26 08:15:37,2016-07-26 08:54:51,54,22,32,4,4,0,0,0,0,0,23,0,1,1
C:\Users\chuan.wang\Desktop\红0728.log,bb[MXT535-BD-V100C001B006T005] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-07-28 00:19:07,2016-07-28 23:59:31,665,114,551,109,64,8,0,1,36,0,111,9,4,2
C:\Users\chuan.wang\Desktop\学生卡3302.log,bb[MXT1501S-V100C001B002E001] gnss[FW Ver:MXT535S-V300C001B002E5329] bt[none],8.67E+14,2016-07-29 00:09:44,2016-07-29 10:51:31,661,47,614,28,27,0,0,0,1,0,46,2,2,0
C:\Users\chuan.wang\Desktop\535yupeng_0729.log,bb[MXT535-V100C001B006s] gnss[FW Ver:MXT535S-V300C001B002E5451] bt[],8.67E+14,2016-07-29 13:01:53,2016-07-29 20:50:17,236,104,132,41,36,3,0,1,1,0,103,1,5,1
