94,"135790246812345,2016-07-13 16:23:40"
98,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[29]
114,"135790246812345,2016-07-13 16:25:52"
117,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[38]
140,"135790246812345,2016-07-13 16:27:52"
143,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[27]
166,"135790246812345,2016-07-13 16:29:52"
169,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[35]
185,"135790246812345,2016-07-13 16:31:52"
188,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[32]
211,"135790246812345,2016-07-13 16:33:52"
214,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[34]
237,"135790246812345,2016-07-13 16:35:52"
240,[LBS info] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[39]
340,"135790246812345,2016-07-13 16:40:04"
344,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[33]
360,"135790246812345,2016-07-13 16:42:19"
363,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[19]
386,"135790246812345,2016-07-13 16:44:19"
389,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[39]
412,"135790246812345,2016-07-13 16:46:19"
415,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[38]
431,"135790246812345,2016-07-13 16:48:19"
434,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[32]
457,"135790246812345,2016-07-13 16:50:19"
460,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[39]
483,"135790246812345,2016-07-13 16:52:19"
486,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[38]
502,"135790246812345,2016-07-13 16:54:19"
505,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[33]
528,"135790246812345,2016-07-13 16:56:19"
531,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[37]
554,"135790246812345,2016-07-13 16:58:19"
557,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
573,"135790246812345,2016-07-13 17:00:19"
576,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[40]
599,"135790246812345,2016-07-13 17:02:19"
602,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
625,"135790246812345,2016-07-13 17:04:19"
628,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[40]
644,"135790246812345,2016-07-13 17:06:19"
647,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
756,"135790246812345,2016-07-13 17:11:27"
760,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[28]
855,"135790246812345,2016-07-13 17:14:09"
858,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[36]
884,"135790246812345,2016-07-13 17:16:05"
887,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[37]
903,"135790246812345,2016-07-13 17:17:50"
906,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[37]
932,"135790246812345,2016-07-13 17:20:05"
935,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[39]
958,"135790246812345,2016-07-13 17:21:50"
961,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[36]
977,"135790246812345,2016-07-13 17:23:50"
980,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[39]
1003,"135790246812345,2016-07-13 17:25:50"
1006,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
1029,"135790246812345,2016-07-13 17:27:50"
1032,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
1048,"135790246812345,2016-07-13 17:29:50"
1051,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[42]
1074,"135790246812345,2016-07-13 17:31:50"
1077,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[34]
1100,"135790246812345,2016-07-13 17:33:50"
1103,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[42]
1119,"135790246812345,2016-07-13 17:35:50"
1122,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[44]
1145,"135790246812345,2016-07-13 17:37:50"
1148,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[46]
1171,"135790246812345,2016-07-13 17:39:50"
1174,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[38]
1190,"135790246812345,2016-07-13 17:41:50"
1193,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[45]
1216,"135790246812345,2016-07-13 17:43:50"
1219,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[42]
1242,"135790246812345,2016-07-13 17:45:50"
1245,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
1261,"135790246812345,2016-07-13 17:47:50"
1264,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
1287,"135790246812345,2016-07-13 17:49:50"
1290,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[43]
1313,"135790246812345,2016-07-13 17:51:50"
1316,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[46]
1332,"135790246812345,2016-07-13 17:53:50"
1335,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[41]
1358,"135790246812345,2016-07-13 17:55:50"
1361,[LBS valid] mcc[460] mnc[0] lac[28730] ci[20736] rxlev[42]
